village_id,ts,new_owner,old_owner,extra
15333,1788805272,1576667616,0,
15805,1788805825,8639312,0,
4437,1788805943,1577311314,1577450914,
12119,1788806067,1575952891,1577543055,
519,1788806157,1577325138,1576756867,
8407,1788806954,1577522946,1577539369,
7033,1788807000,1577000757,1577539597,
8507,1788807160,9285938,1577057758,
25749,1788807227,9353440,0,
11266,1788807419,1577524728,0,
418,1788807600,1577538578,0,
13955,1788807696,8013865,1576955837,
9090,1788808059,1577543988,1575935262,
11822,1788808091,1577484886,0,
17979,1788808324,1577153654,0,
1680,1788809021,9359584,1577529088,
15074,1788809766,1576997632,0,
864,1788810446,1577493640,0,
11491,1788810524,1577513584,0,
4327,1788810676,1577401309,0,
21730,1788811097,1577460911,1577424352,
374,1788811457,1576839110,1577540451,
21313,1788811602,1577136351,1577409603,
15495,1788811788,8837766,0,
3134,1788811916,106967,1577009556,
25512,1788812335,9353440,0,
298,1788812914,9864164,0,
6903,1788813232,1577542923,1577538118,
7987,1788813284,9801163,1577442999,
17689,1788813631,1577544193,0,
19707,1788813648,1577392073,0,
2004,1788813795,1577399535,0,
6601,1788813981,1577465504,1577535844,
15782,1788814098,1576982986,186056,
4907,1788814099,1577340545,1577507286,
10267,1788814555,1577060944,9000115,
17707,1788814826,1576990588,0,
12340,1788814984,1576937849,1918948,
7164,1788816595,1577330010,0,
1707,1788816601,1577327643,1577034674,
11460,1788816869,1577486226,0,
15013,1788816955,1577486614,0,
1251,1788817585,1577176262,0,
14799,1788817779,1577452508,0,
13298,1788818510,1577429914,0,
6270,1788819088,1577537545,1577534924,
3633,1788819602,1577515376,1577341568,
11532,1788820325,10039871,1577458162,
14356,1788821359,8658019,1577417670,
2575,1788821402,1577432431,0,
22655,1788821528,1577431073,0,
19671,1788821694,1577184777,0,
2689,1788822001,1130518,0,
2311,1788823009,1576716190,3039070,
22476,1788823589,3327844,1577537687,
8293,1788823986,9801163,1577542011,
4621,1788824249,8172660,1577491830,
6532,1788825259,1576779551,0,
12365,1788825287,1577465086,0,
17690,1788827674,1577047091,0,
14793,1788828612,9967293,8499874,
14860,1788829526,1576984375,1577518231,
12696,1788829896,1577500093,0,
13606,1788830016,1577542546,0,
12921,1788830145,978765,0,
18157,1788831033,1576813435,92165,
19312,1788833354,1577153654,0,
2324,1788834016,1577345825,8279230,
20568,1788834768,1577502320,9953171,
20721,1788835151,1577059736,0,
17183,1788836582,8463845,0,
23318,1788837570,1577292595,0,
8187,1788838146,1576298928,1577511135,
7944,1788838167,9801163,1577388989,
4129,1788839326,1577505624,1577427469,
764,1788840750,1577490989,0,
10552,1788843475,1576439886,1577422638,
18483,1788845381,1577464497,0,
22407,1788846136,2335309,0,
14686,1788846821,8658019,1577417670,
13633,1788847185,1577507199,0,
10604,1788847201,1576862060,1577537545,
23331,1788847201,1577040263,1576096956,
20147,1788847202,1577360773,1577544418,
7162,1788847217,1577279310,1577540287,
3394,1788847226,2314840,1577238392,
10021,1788847261,258773,1577511084,
18700,1788847333,1577544675,1577360471,
23151,1788847380,1576976099,1577004383,
2767,1788847402,1577542055,1576022218,
17963,1788847476,1577312411,0,
10459,1788847989,7715742,0,
11287,1788848284,9277021,2375326,
15592,1788848734,1576598150,0,
16383,1788849091,7917499,1577487787,
17008,1788849202,1577103914,1576896170,
9759,1788849485,1577241033,1577505997,
2486,1788849815,1577415816,9256749,
392,1788849928,1576839110,1577540451,
392,1788849928,1576839110,1576839110,
25059,1788849991,9353440,0,
1277,1788850547,10213364,0,
10116,1788850821,1577523352,0,
15487,1788850964,1576835232,0,
2685,1788851002,1577394602,10080976,
18466,1788851064,1577184777,0,
14127,1788851350,1576608156,10080975,
5427,1788851559,8954846,0,
7354,1788851630,1577401309,0,
5474,1788851700,1577507188,1577526856,
14191,1788852892,1576588036,1576186892,
1378,1788852945,1577247043,2342017,
4758,1788853308,1577540888,1577503511,
10206,1788853736,1576858619,0,
25772,1788854099,1577536604,0,
8362,1788854835,1577411853,1577534671,
21572,1788855778,3118288,0,
13938,1788855988,1577529338,0,
13678,1788856877,9523129,0,
15911,1788857036,8963712,0,
11620,1788857331,1577524728,0,
14864,1788857702,1576821262,0,
16653,1788858544,8740198,1577535042,
9677,1788858668,760440,0,
2197,1788859091,1577399890,0,
15176,1788859403,8239422,0,
3901,1788860529,1577268661,0,
12328,1788860714,1577501389,1577111906,
12931,1788860993,1577072710,1577367813,
11913,1788861416,1577394820,1577308114,
1378,1788862081,1577538578,1577247043,
15653,1788862600,1577537954,0,
12551,1788862928,1577528385,0,
7478,1788863759,9261979,0,
11441,1788864693,1576683351,1577485392,
7827,1788865353,1577543512,0,
18571,1788866255,1577136351,0,
11359,1788866806,8169554,0,
9500,1788866967,1577355546,0,
4230,1788867322,1870481,0,
8690,1788867683,258773,10034424,
3076,1788867751,1576703850,0,
22792,1788868241,9800838,1577457388,
10893,1788868373,9968798,1577416546,
10017,1788868887,1106388,0,
20765,1788869089,397337,0,
10720,1788869661,1577523352,0,
5467,1788870143,1577483302,1577526552,
5779,1788870650,1576908434,0,
10200,1788871019,1576859369,0,
22597,1788871144,1576312757,1577539907,
15654,1788871716,803854,0,
14268,1788871768,1577244359,0,
4497,1788872068,9801163,1577463629,
11605,1788872197,608497,1577523534,
7501,1788873143,1577504878,1577542637,
7608,1788873169,1576716190,0,
13248,1788873935,978765,0,
4878,1788874522,1577195098,1577507220,
8636,1788874797,1577350677,1577543361,
9727,1788875390,1576670683,1576517085,
14099,1788875553,1577485766,0,
18224,1788875616,1577544419,1577385998,
18838,1788875748,1577059736,0,
20469,1788876205,1577374960,1577311227,
20469,1788876205,1577374960,1577374960,
9296,1788876230,1577345825,0,
12643,1788876551,1576366062,0,
466,1788876663,1577516685,0,
6114,1788877332,1065350,1577534782,
2392,1788877525,801831,8699223,
23331,1788877672,1577544971,1577040263,
7844,1788877983,1577100814,0,
15328,1788878214,1577444440,0,
10968,1788878286,1576096938,0,
11618,1788878341,1577249935,1576667616,
6467,1788878492,1577543988,1577535383,
24193,1788879423,1577397494,1577339706,
8910,1788879811,9607649,1577507726,
1770,1788880139,8449541,0,
5587,1788880186,1577268024,0,
7253,1788880191,1306780,0,
11915,1788881413,1577274339,1577453476,
14268,1788881588,1576984375,1577244359,
3192,1788881695,1577530473,0,
8380,1788881840,8658019,1577536138,
2990,1788881868,1577537130,0,
22652,1788882005,3118288,0,
17562,1788882731,8017942,0,
15020,1788882770,1577327643,1577034674,
19067,1788883048,1265792,0,
19125,1788883110,1577496615,10268401,
13479,1788883112,9810710,0,
13676,1788883627,1577507008,2376637,
