id,name,ally,villages,points,att,def,sup,all
1577514769,Rose.M,542,1,486,0,1448,0,1448
1577514789,republicanarm,0,1,332,0,0,0,0
1577514792,MASSIVamADELN,0,1,461,0,236,0,236
1577514854,Gattouz der Weise,159,1,496,0,0,0,0
1577514863,Prinzlove,181,1,927,0,0,0,0
1577514864,Würfelhusten,472,15,46286,0,2100,5913,8013
1577514908,OoKryonicoO,0,1,77,0,0,0,0
1577514931,Agentur für Arbeit,486,1,394,0,0,0,0
1577514935,Würfelzucker,486,1,355,0,0,0,0
1577515043,ragri,518,1,882,0,0,0,0
1577515088,Brenner19495,0,1,205,0,326,0,326
1577515131,Shouphanya,19,1,2322,0,0,0,0
1577515144,AGschmiede,0,1,207,0,0,0,0
1577515190,Wasserpistole,229,1,303,0,175,0,175
1577515197,haditschau,129,1,2669,0,0,0,0
1577515220,dermitdemagtanzt,0,1,231,0,0,0,0
1577515235,Ralf Shoemaker,0,1,26,0,0,0,0
1577515253,fictionalcara,0,1,332,0,0,0,0
1577515320,Fröhliche Ananas,0,1,402,0,0,0,0
1577515376,Kalash92,464,6,19824,22758,117,0,22875
1577515411,MaximalMinimal,0,1,1083,0,0,0,0
1577515429,Elios,108,1,888,0,0,0,0
1577515438,GVinzi,0,1,241,0,63,0,63
1577515518,General Capri,285,1,3138,4875,0,2783,7658
1577515522,mausezaus,0,1,1470,0,60,0,60
1577515528,Palestino,437,1,601,0,1401,0,1401
1577515530,PoNasaran,39,1,4040,0,62,0,62
1577515677,Lord Nils,0,1,366,0,82,0,82
1577515681,Mundharmonika,0,1,554,0,0,0,0
1577515743,Aristoteles,351,2,4921,2845,334,0,3179
1577515767,Lord Jule,262,2,1069,0,5095,0,5095
1577515825,123 Da,0,1,459,0,1933,0,1933
1577515846,KAANISTAN,0,1,2046,36,0,0,36
1577515865,Eddie78,29,1,5043,4,0,0,4
1577515929,Teddybär,405,2,3569,0,133,0,133
1577515991,baro44,28,5,15908,31430,468,323,32221
1577516012,Wir kürzen Stroh,0,1,26,0,0,0,0
1577516019,Lord Black Lotus,565,3,6784,3045,5081,0,8126
1577516029,McTiji,0,1,284,7477,1129,0,8606
1577516104,Mischa777,140,1,1664,0,3296,0,3296
1577516328,Necroshade,12,4,10496,8084,0,0,8084
1577516454,Sefe97,142,1,616,130,8542,478,9150
1577516528,Slippery,0,1,3503,0,14,0,14
1577516548,Käpten Chris,0,1,662,0,102,0,102
1577516633,knallter,0,1,104,0,0,0,0
1577516656,GOAT30,0,1,26,0,0,0,0
1577516660,Curion,0,1,766,90,30,0,120
1577516685,Vanillas,0,3,4319,12809,222,279,13310
1577516697,terzel12,56,1,2862,0,0,0,0
1577516729,Sveriner,557,1,1335,95,0,0,95
1577516730,provokant?,10,1,1243,0,0,5,5
1577516824,Donpeppone,322,1,2162,0,114,0,114
1577516846,König Peace and Love,557,1,593,0,0,0,0
1577516880,Cortex,28,6,26969,32699,26280,0,58979
1577516917,complicatedl,0,1,332,0,13,0,13
1577516923,Stabilrunner,393,1,1896,0,22,0,22
