id,name,tag,members,villages,points,all_points,rank
553,Snoek Fight Club,SFC,14,21,51970,51970,98
555,Broken Wings,~BR~,2,1,774,774,383
556,Hau Drauf,HD,5,10,47790,47790,105
557,Teamplay 2,TP2,11,13,21608,21608,161
558,Six Seven,6-7,15,15,14553,14553,181
560,nukhütte,NUK,24,93,294639,294639,28
562,Hauwech,HaWe,1,1,1528,1528,333
563,Purrfection,Purr,2,2,752,752,385
565,LYRANER,LYRAN,25,267,1064540,1064540,6
566,Freundedes stammes,Dfd,2,2,3593,3593,269
567,Seenlandbarbaren,SLBB,13,13,18385,18385,174
569,Frans,Frans,2,1,2578,2578,286
570,fhsad,dsdfh,1,1,334,334,433
572,??? Basherelite ???,????,9,31,111128,111128,59
575,Heavy,Hvy,3,3,2500,2500,291
579,DIE RÖmer,DR,1,1,3499,3499,272
580,Rammstein,RSN,1,1,2001,2001,318
581,Nachtwache,'NW',1,1,1608,1608,329
584,tribe123,tribe1,2,2,9052,9052,207
587,{VOLT},{VOLT},5,5,9531,9531,202
589,Flaggentausch,Flag,2,2,150,150,456
590,DS-Götter,GOAT,1,1,570,570,405
591,Suits 2,sts2,22,58,170644,170644,42
593,Kontinal Defence Initiative,-KDI-,1,0,0,0,473
594,Darkside,oflive,3,3,1579,1579,331
596,Die Deffer Gang,*DDG*,2,2,2300,2300,303
601,Auftragnehmer GmbH,GmbH,4,12,41978,41978,121
602,Blutkessel,KESSEL,10,12,22705,22705,157
603,Die Nachtwache,DNW,1,1,1249,1249,354
607,Edytron,EMP,1,1,1287,1287,349
609,Ameisenhaufen,Ameise,13,15,29576,29576,141
610,TryBreithaupt,Herr,5,5,392,392,427
612,Somerset,Som,1,1,645,645,398
613,EPIC³,CLAP,5,15,46328,46328,108
614,Ruhe!,psst..,1,1,2496,2496,292
617,xRVx,RV,2,2,413,413,424
618,GGGG,GgG,2,2,3513,3513,271
619,Die roten Teufel,-DrT-,1,1,1010,1010,367
620,Hyäne,Hyäne,7,15,56905,56905,89
621,Die Normandie,NORM,16,16,24927,24927,152
623,234234,234234,1,1,504,504,412
624,Hydra-gon,Hydra,16,16,23288,23288,155
625,Kampfschlümpfe,KS,1,0,0,0,474
626,JUHU,JUH,1,1,1382,1382,345
627,Die ober Pfeiffen,Dopf,7,7,6969,6969,225
628,Dörflinge,Dö,3,3,2228,2228,306
631,Sword of Mana,SoMana,13,13,11774,11774,191
632,Stamm1899,WB,1,0,0,0,475
633,Bauernopfer,OPF,4,4,4997,4997,246
634,Assa,As,4,4,3595,3595,270
637,Die Außenseiter,DAß,12,12,12912,12912,185
638,Phimose,incel,5,5,2219,2219,308
639,NoAimGang,NAG,16,16,17391,17391,175
640,Capsule-Corp,CaC,9,9,5140,5140,244
641,Kecktra,Keck,1,1,226,226,446
642,Erben des Throns,~EdT,2,2,2280,2280,304
644,Baum,Stamm,2,2,1103,1103,360
646,Stammesbrüder,-SB-,16,24,54739,54739,91
648,Astra Militarum,Guard,6,6,6412,6412,228
649,Granit,Wall20,1,1,1812,1812,322
651,Pakt der Nordmänner,PDN,14,14,18816,18816,173
654,McKilroy60,Mck60,1,1,204,204,449
655,AlterEgo,AE,1,1,319,319,436
656,HeiligesGeflüster,HG,1,1,597,597,403
657,Lunatic Asylum,RIOT,1,1,649,649,397
658,jjjjj,jjjjj,3,2,3830,3830,265
659,One Piece,OP,5,17,42637,42637,119
660,Spaßgesellschaft,Spgft,1,1,1131,1131,359
661,Blaue Welle,BW,1,1,236,236,444
664,IchAG,Carbon,1,1,646,646,399
665,Die Deffer,DEF,2,6,29638,29638,140
667,Loooool,Looooo,1,1,316,316,437
668,Semper Fidelis,[=SF=],1,2,3796,3796,266
670,Prmium,Pointz,1,1,495,495,414
671,FKK Nobless,PUFF,4,4,2344,2344,300
672,Keller,Ke,1,1,421,421,422
673,afasfaf,lol_wo,1,1,521,521,409
674,Spritpreisbremse,Sprit,4,10,21266,21266,164
676,Nukzelle,NUK²,6,7,9748,9748,199
677,Phönix,Ph,2,2,5122,5122,245
